Документ измерений,Дата,Показания счетчика,ЕдиницаИзмерПризнака,Единица оборудования
30779612,3/11/2022,"746733,983",км,100000062389
30779593,3/11/2022,"56538,763",МТЧ,100000062386
30779581,3/11/2022,"733072,986",км,100000062386
30779568,3/11/2022,"62389,903",МТЧ,100000062399
30779551,3/11/2022,"784315,790",км,100000062399
30779512,3/11/2022,"60559,701",МТЧ,100000062398
30779501,3/11/2022,"781633,513",км,100000062398
30779418,3/11/2022,"801887,065",км,100000062396
30779457,3/11/2022,"62852,730",МТЧ,100000062395
30779398,3/11/2022,"821151,788",км,100000062395
30779429,3/11/2022,"66863,856",МТЧ,100000062390
30779406,3/11/2022,"873119,884",км,100000062390
30779382,3/11/2022,"65076,850",МТЧ,100000062392
30779373,3/11/2022,"829548,454",км,100000062392
30779357,3/11/2022,"65595,605",МТЧ,100000062394
30779324,3/11/2022,"60364,957",МТЧ,100000062393
30779314,3/11/2022,"782371,912",км,100000062393
30779281,3/11/2022,"65177,264",МТЧ,100000062391
30779251,3/11/2022,"825581,626",км,100000062391
30779090,3/11/2022,"80394,747",МТЧ,100000062384
30779203,3/11/2022,"991191,772",км,100000062384
30779185,3/11/2022,"81095,724",МТЧ,100000062382
30779166,3/11/2022,"1069235,505",км,100000062382
30779145,3/11/2022,"82183,291",МТЧ,100000062381
30779127,3/11/2022,"1037615,091",км,100000062381
30778969,3/11/2022,"84309,702",МТЧ,100000065976
30779072,3/11/2022,"1093945,788",км,100000065976
30779055,3/11/2022,"80227,851",МТЧ,100000065975
30779031,3/11/2022,"1019887,374",км,100000065975
30779022,3/11/2022,"81050,397",МТЧ,100000062380
30779006,3/11/2022,"1030859,523",км,100000062380
30778976,3/11/2022,"80986,303",МТЧ,100000065967
30778944,3/11/2022,"1044750,714",км,100000065967
30778925,3/11/2022,"83267,011",МТЧ,100000065974
30778912,3/11/2022,"1032699,620",км,100000065974
30778877,3/11/2022,"83871,330",МТЧ,100000065972
30778861,3/11/2022,"1080961,574",км,100000065972
30778829,3/11/2022,"83742,159",МТЧ,100000065971
30778807,3/11/2022,"1047393,408",км,100000065971
30778792,3/11/2022,"85875,062",МТЧ,100000065970
30778768,3/11/2022,"1116812,765",км,100000065970
30778723,3/11/2022,"1051885,479",км,100000065969
30778660,3/11/2022,"83608,052",МТЧ,100000065968
30778704,3/11/2022,"95725,901",МТЧ,100000062376
30778671,3/11/2022,"1211156,002",км,100000062376
30778643,3/11/2022,"97212,128",МТЧ,100000062377
30778628,3/11/2022,"1229604,823",км,100000062377
30778613,3/11/2022,"96402,827",МТЧ,100000062379
30778586,3/11/2022,"1236415,428",км,100000062379
30778554,3/11/2022,"97496,566",МТЧ,100000062373
30778416,3/11/2022,"1231271,422",км,100000062373
30778439,3/11/2022,"97547,220",МТЧ,100000062372
30778504,3/11/2022,"1210139,668",км,100000062372
30778484,3/11/2022,"98366,842",МТЧ,100000062371
30778471,3/11/2022,"1227531,931",км,100000062371
30778330,3/11/2022,"102162,994",МТЧ,100000062370
30778425,3/11/2022,"1235522,561",км,100000062370
30778406,3/11/2022,"98604,506",МТЧ,100000062369
30778385,3/11/2022,"1238433,226",км,100000062369
30778260,3/11/2022,"97445,844",МТЧ,100000028868
30778233,3/11/2022,"1216935,514",км,100000028868
30776392,3/10/2022,"377027,000",км,100000008673
30776248,3/10/2022,"391576,000",км,100000008674
30775934,3/10/2022,"66851,856",МТЧ,100000062390
30775924,3/10/2022,"85863,282",МТЧ,100000065970
30775871,3/10/2022,"102152,889",МТЧ,100000062370
30774371,3/11/2022,"31753,950",МТЧ,100000008674
30774140,3/11/2022,"32440,300",МТЧ,100000008673
30771321,3/11/2022,"31728,000",МТЧ,100000084396
30771307,3/11/2022,"393447,000",км,100000084396
30771293,3/11/2022,"29546,000",МТЧ,100000084397
30771179,3/11/2022,"362655,000",км,100000084397
30771159,3/11/2022,"30010,000",МТЧ,100000084399
30771145,3/11/2022,"372410,000",км,100000084399
30771052,3/11/2022,"26699,000",МТЧ,100000084400
30771028,3/11/2022,"336213,000",км,100000084400
30771014,3/11/2022,"30418,000",МТЧ,100000084401
30770950,3/11/2022,"377805,000",км,100000084401
30770938,3/11/2022,"30281,000",МТЧ,100000084402
30770886,3/11/2022,"381524,000",км,100000084402
30770849,3/11/2022,"30106,000",МТЧ,100000084403
30770818,3/11/2022,"379068,000",км,100000084403
30770807,3/11/2022,"29274,000",МТЧ,100000084404
30770776,3/11/2022,"366348,000",км,100000084404
30770762,3/11/2022,"29134,000",МТЧ,100000084405
30770718,3/11/2022,"364705,000",км,100000084405
30770687,3/11/2022,"29646,000",МТЧ,100000084406
30770656,3/11/2022,"370324,000",км,100000084406
30770645,3/11/2022,"27714,000",МТЧ,100000084407
30770634,3/11/2022,"343381,000",км,100000084407
30770603,3/11/2022,"29177,000",МТЧ,100000084408
30770592,3/11/2022,"367075,000",км,100000084408
30770548,3/11/2022,"29178,000",МТЧ,100000084409
30770534,3/11/2022,"370795,000",км,100000084409
30770500,3/11/2022,"369672,000",км,100000084410
30770488,3/11/2022,"28515,000",МТЧ,100000084411
30770466,3/11/2022,"357073,000",км,100000084411
30770456,3/11/2022,"26649,000",МТЧ,100000084412
30770436,3/11/2022,"334812,000",км,100000084412
30767290,3/10/2022,"71352,783",МТЧ,100000065643
30767350,3/10/2022,"977220,912",км,100000065643
30767249,3/10/2022,"72392,064",МТЧ,100000065641
30767260,3/10/2022,"977125,457",км,100000065641
30767099,3/10/2022,"43543,334",МТЧ,100000065981
30767068,3/10/2022,"546465,729",км,100000065981
30766859,3/10/2022,"43973,982",МТЧ,100000065980
30766929,3/10/2022,"547221,011",км,100000065980
30767002,3/10/2022,"43295,049",МТЧ,100000065979
30766986,3/10/2022,"541811,126",км,100000065979
30766973,3/10/2022,"43437,872",МТЧ,100000065978
30766944,3/10/2022,"533839,031",км,100000065978
30766915,3/10/2022,"42623,414",МТЧ,100000065977
30766749,3/10/2022,"535237,625",км,100000065977
30766649,3/10/2022,"71880,043",МТЧ,100000065640
30766634,3/10/2022,"993888,619",км,100000065640
30766518,3/10/2022,"73675,132",МТЧ,100000065639
30766611,3/10/2022,"1025625,395",км,100000065639
30766550,3/10/2022,"71689,703",МТЧ,100000065638
30766575,3/10/2022,"986360,153",км,100000065638
30766555,3/10/2022,"74393,328",МТЧ,100000065637
30766536,3/10/2022,"1030202,231",км,100000065637
30766329,3/10/2022,"63041,518",МТЧ,100000065627
30766314,3/10/2022,"861646,216",км,100000065627
30766298,3/10/2022,"64445,801",МТЧ,100000065626
30766277,3/10/2022,"893658,445",км,100000065626
30766263,3/10/2022,"61792,296",МТЧ,100000065625
30766239,3/10/2022,"838174,081",км,100000065625
30766223,3/10/2022,"63588,727",МТЧ,100000065624
30766211,3/10/2022,"878592,352",км,100000065624
30766192,3/10/2022,"366174,000",км,100000084404
30766164,3/10/2022,"65056,012",МТЧ,100000065623
30766146,3/10/2022,"890845,246",км,100000065623
30766127,3/10/2022,"62378,931",МТЧ,100000062399
30766103,3/10/2022,"784173,846",км,100000062399
30766039,3/10/2022,"60547,721",МТЧ,100000062398
30766081,3/10/2022,"781499,938",км,100000062398
30765987,3/10/2022,"62924,569",МТЧ,100000062396
30766057,3/10/2022,"801733,856",км,100000062396
30766045,3/10/2022,"62840,820",МТЧ,100000062395
30766004,3/10/2022,"821011,775",км,100000062395
30765930,3/10/2022,"59641,457",МТЧ,100000065636
30765953,3/10/2022,"808884,850",км,100000065636
30765941,3/10/2022,"62308,832",МТЧ,100000065635
30765934,3/10/2022,"813863,749",км,100000065635
30765901,3/10/2022,"61018,894",МТЧ,100000065634
30765894,3/10/2022,"823371,614",км,100000065634
30765879,3/10/2022,"59644,751",МТЧ,100000065633
30765861,3/10/2022,"815776,211",км,100000065633
30765846,3/10/2022,"58896,021",МТЧ,100000065631
30765825,3/10/2022,"797456,784",км,100000065631
30765812,3/10/2022,"62316,681",МТЧ,100000065630
30765798,3/10/2022,"840505,871",км,100000065630
30765784,3/10/2022,"62486,765",МТЧ,100000065629
30765772,3/10/2022,"855881,892",км,100000065629
30765738,3/10/2022,"55166,565",МТЧ,100000065628
30765723,3/10/2022,"760568,389",км,100000065628
30765704,3/10/2022,"80383,127",МТЧ,100000062384
30765680,3/10/2022,"991046,288",км,100000062384
30765640,3/10/2022,"81083,994",МТЧ,100000062382
30765646,3/10/2022,"1069119,793",км,100000062382
30765627,3/10/2022,"82176,861",МТЧ,100000062381
30765608,3/10/2022,"1037568,742",км,100000062381
30765588,3/10/2022,"84299,103",МТЧ,100000065976
30765566,3/10/2022,"1093807,385",км,100000065976
30765542,3/10/2022,"83710,099",МТЧ,100000065622
30765534,3/10/2022,"1110306,387",км,100000065622
30765469,3/10/2022,"80216,941",МТЧ,100000065975
30765503,3/10/2022,"1019732,716",км,100000065975
30765455,3/10/2022,"83255,171",МТЧ,100000065974
30765360,3/10/2022,"1032555,745",км,100000065974
30765399,3/10/2022,"83859,590",МТЧ,100000065972
30765377,3/10/2022,"1080799,795",км,100000065972
30765345,3/10/2022,"83731,233",МТЧ,100000065971
30765329,3/10/2022,"1047237,463",км,100000065971
30765291,3/10/2022,"1116664,867",км,100000065970
30765281,3/10/2022,"80709,383",МТЧ,100000065969
30765246,3/10/2022,"1051725,672",км,100000065969
30765231,3/10/2022,"83606,052",МТЧ,100000065968
30765217,3/10/2022,"85887,295",МТЧ,100000065620
30765204,3/10/2022,"1156889,509",км,100000065620
30764849,3/10/2022,"81308,189",МТЧ,100000065619
30765141,3/10/2022,"1062826,975",км,100000065619
30765127,3/10/2022,"85492,771",МТЧ,100000065618
30765112,3/10/2022,"1140238,186",км,100000065618
30765080,3/10/2022,"84260,530",МТЧ,100000065617
30764608,3/10/2022,"1117603,882",км,100000065617
30765067,3/10/2022,"87529,152",МТЧ,100000065616
30765036,3/10/2022,"1155370,323",км,100000065616
30765023,3/10/2022,"85455,460",МТЧ,100000065615
30765008,3/10/2022,"1101297,971",км,100000065615
30764993,3/10/2022,"86394,215",МТЧ,100000065614
30764969,3/10/2022,"1120878,754",км,100000065614
30764925,3/10/2022,"87318,523",МТЧ,100000065613
30764910,3/10/2022,"1164172,145",км,100000065613
30764895,3/10/2022,"88279,315",МТЧ,100000065612
30764869,3/10/2022,"1174551,435",км,100000065612
30764834,3/10/2022,"80974,463",МТЧ,100000065967
30764819,3/10/2022,"1044595,413",км,100000065967
30764771,3/10/2022,"86547,896",МТЧ,100000065611
30764756,3/10/2022,"1121269,561",км,100000065611
